,Nombre,Precio,Caracteristicas
0,"Laptop Evolve III Education Maestro E-Book gray 11.6"", Intel Celeron N3450  4GB de RAM 64GB SSD, Intel HD Graphics 500 60 Hz 1366x768px Windows 10","2,549","['Procesador Intel Celeron.', 'Memoria RAM de 4GB.', 'Pantalla LCD de 11.6"".', 'Resolución de 1366x768\xa0px.', 'Tarjeta gráfica Intel HD Graphics 500. ', 'Conexión wifi y bluetooth.', 'Cuenta con 2 puertos USB y puerto HDMI.', 'Incluye lector de tarjeta de memoria.', 'Modo de sonido Stereo.', 'La duración de la batería depende del uso que se le dé al producto.']"
1,"Laptop Lenovo IdeaPad 14IIL05  platinum gray 14"", Intel Core i5 1035G1  8GB de RAM 512GB SSD, Intel UHD Graphics G1 1920x1080px Windows 10 Home","16,499","['Procesador Intel Core i5.', 'Memoria RAM de 8GB.', 'Pantalla LCD de 14"".', 'Resolución de 1920x1080\xa0px.', 'Es antirreflejo.', 'Tarjeta gráfica Intel UHD Graphics G1. ', 'Conexión wifi y bluetooth.', 'Cuenta con 3 puertos USB y puerto HDMI.', 'Incluye lector de tarjeta de memoria.', 'Modo de sonido Dolby Audio, Stereo, HD Audio.', 'La duración de la batería depende del uso que se le dé al producto.']"
2,Laptop Gamer Hp Victus 16-d0504la Memoria Ram 8 Gb Full Hd Azul,"25,000","['Procesador Intel Core i5.', 'Memoria RAM de 8GB.', 'Pantalla LCD de 16.1"".', 'Resolución de 1920x1080\xa0px.', 'Es antirreflejo.', 'Tarjeta gráfica GPU NVIDIA GeForce GTX 1650 para laptop. ', 'Conexión wifi y bluetooth.', 'Cuenta con 3 puertos USB y puerto HDMI.', 'Incluye lector de tarjeta de memoria.', 'Posee pad numérico.', 'Modo de sonido Stereo.', 'La duración de la batería depende del uso que se le dé al producto.']"
3,Hp 15.6 Touch-screen I3 8gb 256gb Ssd,"8,999","['Procesador Intel.', 'Memoria RAM de 8GB.', 'Es táctil. ', 'La duración de la batería depende del uso que se le dé al producto.']"
4,Laptop Asus Zenbook Ux325 Oled 13.3 In Intel Ci5 8gb 512gb,"22,999","['Procesador Intel.', 'Memoria RAM de 8GB.', 'Es táctil. ', 'Tarjeta gráfica Intel Iris X Graphics. ', 'La duración de la batería depende del uso que se le dé al producto.']"
5,Laptop Asus Tuf Dash F15 Fx516pc-hn001w 8gb 512gb Intel Gris,"30,999","['Procesador Intel i7-11370H de 11va generación.', 'Memoria RAM de 8GB.', 'Pantalla IPS de 15.6"".', 'Resolución de Full HD.', 'Es antirreflejo.', 'Tarjeta gráfica NVIDIA GeForce RTX 3050. ', 'Conexión wifi y bluetooth.', 'Cuenta con 4 puertos USB y puerto HDMI.', 'Modo de sonido Dts® x.', 'Con teclado retroiluminado.', 'La duración de la batería depende del uso que se le dé al producto.']"
6,"Laptop Lenovo IdeaPad 14ITL05  platinum gray 14"", Intel Core i3 1115G4  8GB de RAM 512GB SSD, Intel UHD Graphics Xe G4 48EUs 1366x768px Windows 11 Home","10,980","['Procesador Intel Core i3.', 'Memoria RAM de 8GB.', 'Pantalla TN de 14"".', 'Resolución de 1366x768\xa0px.', 'Es antirreflejo.', 'Tarjeta gráfica Intel UHD Graphics Xe G4 48EUs. ', 'Conexión wifi y bluetooth.', 'Cuenta con 3 puertos USB y puerto HDMI.', 'Incluye lector de tarjeta de memoria.', 'Modo de sonido Stereo, HD Audio, Dolby Audio.', 'La duración de la batería depende del uso que se le dé al producto.']"
7,"Laptop Hp: Intel Core I5, Ram 12gb, Ssd 512gb, 17.3 , W11h","17,202","['Procesador Intel Core i5 1235U.', 'Memoria RAM de 12GB.', 'Pantalla LED de 17.3"".', 'Resolución de 1920x1080\xa0px.', 'La duración de la batería depende del uso que se le dé al producto.']"
8,Asus Vivobook 15.6 Fhd Ryzen 8gb 128gb Ssd Backlit + Finger,"11,999","['Procesador AMD AMD Ryzen 3 3200U.', 'Memoria RAM de 8GB.', 'Pantalla LED de 15.6"".', 'Resolución de 1920x1080\xa0px.', 'Es antirreflejo.', 'Tarjeta gráfica AMD Radeon Vega 3 Integrated Graphics. ', 'Conexión wifi y bluetooth.', 'Cuenta con 4 puertos USB y puerto HDMI.', 'Incluye lector de tarjeta de memoria.', 'Posee pad numérico.', 'La duración de la batería depende del uso que se le dé al producto.']"
9,"Laptop Lenovo Yoga Slim 14ARE05  slate gray 14"", AMD Ryzen 5 4500U  8GB de RAM 256GB SSD, AMD Radeon RX Vega 6 (Ryzen 4000/5000) 1920x1080px Windows 10 Home","13,038","['Procesador AMD Ryzen 5.', 'Memoria RAM de 8GB.', 'Pantalla IPS de 14"".', 'Resolución de 1920x1080\xa0px.', 'Es antirreflejo.', 'Tarjeta gráfica AMD Radeon RX Vega 6 (Ryzen 4000/5000). ', 'Conexión wifi y bluetooth.', 'Cuenta con 4 puertos USB y puerto HDMI.', 'Incluye lector de tarjeta de memoria.', 'Modo de sonido HD Audio, Stereo.', 'La duración de la batería depende del uso que se le dé al producto.']"
